"lat","lon","objectid","base","perimeter","area"
40.1545151653,-113.284084389,577,"Dugway Proving Ground",166.54263054,1250.7702621
38.1554946642,-78.4136946349,605,"Rivanna Station",1.74910696,0.11804562
44.1248120384,-75.5920674235,645,"Fort Drum",83.64489799,170.14390483
42.2895101722,-71.3633494213,673,"US Army Soldier Systems Center Natick",1.73908776,0.10050346
34.8905585366,-116.870241242,1139,"Yermo Area",9.11344588,2.64181706
36.8887856719,-76.3605553448,1279,"Craney Island",8.58664027,1.14872858
37.2448033923,-76.5855659537,1296,"Naval Weapons Station Yorktown",17.12229581,16.23443339
36.9231148685,-76.0174690076,1323,"JEBLCFS East",7.03987052,2.44218058
36.6512553805,-115.640007706,1704,"Creech AFB",123.27287574,211.77097773
47.5059106291,-111.182777387,2060,"Malmstrom AFB",11.7428722,5.1197989
48.4210623214,-101.338350153,2228,"Minot AFB",17.73537119,7.75923308
38.9946516318,-104.857157781,2499,"USAF Academy",36.94683316,28.81367101
34.9040005265,-92.1384692754,2561,"Little Rock AFB",14.60126902,9.71379196
21.3636803488,-157.710220122,2593,"Bellows",5.40831439,0.6427876
33.5362891829,-112.374183665,2602,"Luke AFB",18.59304004,4.54293907
32.3244710273,-90.0826770417,2820,"Jackson IAP Thompson Field",3.18635924,0.18841526
41.6461510573,-70.5337300198,2854,"Otis ANG Base",8.20949827,1.07957185
39.8128368963,-82.9437124972,2862,"Rickenbacker",3.17840196,0.26336079
42.6124987986,-82.8324160105,2879,"Selfridge ANGB",11.9763104,4.84474071
43.9362601246,-90.2543423584,2895,"Volk ANGB",10.88799346,3.46476952
46.8449538206,-92.172128284,2905,"Duluth IAP",3.62073643,0.23824589
41.5865259257,-83.7919651408,2917,"Toledo/Exp Airport",2.79467094,0.2112758
41.3313986668,-72.1879440898,3130,"NG Camp Niantic",2.25538866,0.1272156
33.7179613001,-85.9502653692,3337,"NG Pelham Range Training Site - Fort McClellan",25.51423338,34.72625367
35.781595342,-120.780040594,4050,"NG MTC-H Camp Roberts",43.04942674,66.57950519
45.5648760428,-94.1774187425,4395,"NG St Cloud NG Armory",0.47940595,0.01012664
30.3578247818,-91.1408358591,4537,"NG Baton Rouge AFRC",1.76793402,0.07949045
47.7711996949,-98.7161638156,4620,"NG Camp Grafton",39.21101987,18.11781989
40.1899589793,-75.5558107769,4797,"NG Spring City Readiness Center",1.12202011,0.08243453
39.4323773898,-76.5050135446,5207,"NG MTA Gunpowder Military Reservation",3.21346546,0.39683503
43.5892992575,-96.6754244833,5324,"NG Sioux Falls Benson Rd Complex",1.17532548,0.0888212
21.3813432543,-157.974037315,5421,"Pearl City",9.66286982,0.90113404
34.8902967213,-117.848771224,5920,"Edwards AFB",113.39049678,481.54080981
38.9214186847,-77.0670325804,5979,"Naval Observatory",1.1550366,0.11269509
38.0513971399,-122.018795364,102,"Military Ocean Terminal Concord",34.93170367,9.31225766
36.6697817061,-87.6718272017,586,"Fort Campbell KY",65.30685697,57.96505553
41.5170748739,-90.5411561301,679,"Rock Island Arsenal",10.12334765,1.40384772
30.405301276,-81.6216735389,1199,"Jacksonville FL Maint",2.27205097,0.17706
21.3182154989,-157.988054568,1239,"Puuloa-Oahu",2.26757498,0.24891757
41.4753432866,-71.3399358753,1360,"Fort Adams RI",1.24001498,0.03755488
30.3815861854,-81.4248272955,1549,"NAVSTA Mayport FL",14.6884409,5.36687841
27.6924886772,-97.2793198862,1560,"NAS Corpus Christi TX",13.66429392,4.41900068
30.4291906458,-86.6987100281,1658,"Hurlburt Field",15.08632469,9.97662301
44.892490313,-93.2071583527,2502,"Minn-St Paul",4.33354996,0.3590452
34.7135727132,-120.55814563,2515,"Vandenberg Main Base",97.65642847,154.77135302
35.4076597475,-97.611671339,2898,"Will Rogers World Airport",1.78869294,0.21183731
42.3382282871,-104.809449137,3197,"NG MTCH Camp Guernsey",131.36312209,123.23180463
35.2565207847,-94.1634392414,3333,"NG Fort Chaffee MTC",82.34844951,101.75103068
31.0902463593,-89.0068676906,3439,"NG MTA Camp Shelby",109.76437067,216.30440833
32.6629164638,-111.488032827,3581,"NG Picacho Aviation TS",2.96368502,0.51344293
41.7003516585,-70.5448394116,4379,"NG MTA Camp Edwards",36.9530397,32.11642959
39.4979931517,-76.8456986902,5209,"NG MTA Camp Fretterd",4.25629409,0.91768655
28.6111807311,-97.6121549462,5465,"NALF Goliad",9.67671358,1.77579793
24.5688912079,-81.7508073951,5521,"Naval Hospital",0.64248908,0.02430987
39.0567083217,-76.6762764474,5700,"Gambrills",6.29121013,1.30537598
38.9898516944,-76.4624264305,5701,"NAVACAD North Severn",9.39997803,1.28355894
36.5916541246,-121.860796344,5724,"Navy Annex",2.35051998,0.18969614
38.5491137312,-77.2131682728,5760,"Stump Neck Area",16.24247393,1.73972264
30.4078255445,-88.9216855143,5934,"Keesler AFB",9.50161188,2.22337201
47.5591924008,-122.635482091,6165,"Shipyard Puget Sound",3.25852438,0.45793782
31.3863190917,-85.9722716491,66,"Brown 4b Stagefield AL",1.98403965,0.25504468
31.2285844723,-85.5587094717,82,"Toth Stagefield AL",1.76953087,0.19007856
21.4956034912,-158.053239766,150,"Schofield Barracks Military Reservation",43.85006229,23.4489528
40.6089967598,-74.0294500589,647,"Fort Hamilton",3.24169841,0.27630773
40.7920025926,-91.2456158021,659,"Iowa AAP",25.59289443,33.62462485
34.69285056,-77.0286825557,1109,"ALF Bogue",7.99680624,1.41145676
40.253857198,-74.1608483411,1311,"Naval Weapons Station Earle NJ",23.79425256,13.36624457
36.9250152893,-76.2996109684,1316,"NAVSUPPACT Hampton Roads VA",5.38171186,1.22247271
40.0413030722,-75.094581272,1324,"Det Philadelphia PA",2.08669546,0.21074834
32.5531914123,-88.5695131272,1530,"NAS Meridian MS",32.75334077,12.63878888
35.3314242265,-89.8707837951,1557,"NAVSUPPACT Midsouth Memphis TN",6.41407356,1.62297726
30.5759376196,-86.5283733486,1655,"Eglin AFB (Eglin Main and Reservation)",235.02625837,703.11834606
41.9349940506,-72.7012504094,2779,"Bradley IAP",2.37862622,0.23060368
39.6865096946,-75.5975562186,2853,"New Castle Airport",2.13090153,0.12085951
43.0890854907,-70.8187307657,2855,"Pease ANGB",2.9033002,0.33578116
32.1264203859,-81.1897565604,2875,"Savannah/Hilton Head IAP",4.68716859,0.32225043
27.8436083654,-82.5010227484,2922,"MacDill AFB",14.38182786,8.90105922
36.8915192187,-90.2799665184,4236,"NG TS Clark Natl Forest Wapp",9.67342612,3.1987163
44.7477484831,-93.1276054375,4546,"NG Rosemount NG Armory",0.56147155,0.01875397
32.8385569471,-115.258177991,5449,"Holtville Carrier LS",19.49433105,1.89598568
29.9488308912,-90.0328996808,5511,"West Bank",3.06635542,0.30661643
30.5080389773,-87.6471946322,5559,"NOLF Summerdale",4.29074585,0.87455448
33.984552387,-98.4996936818,5943,"Sheppard AFB",12.37061032,7.00485874
48.1896005828,-122.632442292,5984,"OLF Coupeville",6.92338408,1.04788297
43.0489402334,-115.865880301,6053,"Mountain Home AFB",12.65257109,9.42344916
39.121056975,-121.395465168,6169,"Beale AFB",29.51014189,36.18826308
34.6433579946,-77.3051040489,6195,"MCB Camp Lejeune (East Site)",174.26717532,88.05265063
28.233869335,-80.6080075194,6230,"Patrick AFB",18.43883883,3.02444993
34.0398329341,-80.8279912711,51,"Fort Jackson",42.46091876,82.3615815
31.1583587094,-93.1211074078,63,"Fort Polk",332.77351078,375.45963653
31.3801590885,-85.5801110187,72,"Hunt Stagefield AL",1.92317563,0.20039693
21.2818165031,-157.833889161,168,"Fort De Russy",1.50822926,0.11060108
39.0062532255,-77.0549719287,642,"Fort Detrick Forest Glen Annex",2.20642048,0.19459995
36.9200366625,-76.3166237521,1317,"SDA Area",1.49487142,0.14014529
44.9888095805,-70.4506315715,1365,"Redington Township",31.85232816,19.4922695
41.5424613695,-81.6261664945,1388,"Bratenahl",1.17347686,0.04823925
27.646918201,-81.2767274884,1771,"Avon Park AF Range",75.6069703,166.27886704
37.0855727581,-76.3643682001,2529,"Langley AFB",21.47567299,4.86093879
32.8994019151,-80.0503551711,2551,"Charleston AFB",15.94819967,4.73353742
33.9228868864,-80.8006861299,2838,"McEntire Joint National Guard Base",11.15962031,3.73434117
42.8521798908,-73.9228087372,2878,"Schenectady ANG MAP",2.44305308,0.19697492
36.21702376,-95.8747750984,2893,"Tulsa IAP",2.28947442,0.15614886
39.4539927154,-87.294448703,2915,"Hulman Fld",1.54130418,0.1084794
37.6251905946,-97.2602816317,2923,"McConnell AFB",15.32663449,4.14093277
